profile_id,year,id,wtssps,age,sex,racecen1,hispanic,degree,income16,hompop,class,region,srcbelt,partyid,polviews,relig,reborn,reliten,consci
p00013,2018,945,1.9003015980122135,59,male,black or african american,not hispanic,high school,"$75,000 to $89,999",5,working class,south,suburbs of the remaining 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,yes,no religion,a great deal
p00014,2024,1985,0.5703459975982038,41,female,white,not hispanic,associate/junior college,"$50,000 to $59,999",NA,working class,northeast,NA,strong democrat,liberal,none,no,NA,a great deal
p00015,2022,104,3.486659675009781,63,male,white,not hispanic,bachelor's,"$60,000 to $74,999",2,middle class,northeast,central city of 12 largest smsas,not very strong democrat,slightly conservative,catholic,yes,strong,only some
p00016,2022,2226,1.8883132132355511,38,male,white,not hispanic,bachelor's,"$170,000 or over",3,middle class,south,"other urban (counties having towns of 10,000 or more)",strong republican,conservative,protestant,yes,NA,NA
p00017,2021,550,1.3590446139493153,46,male,white,not hispanic,high school,"$110,000 to $129,999",2,middle class,south,"other urban (counties having towns of 10,000 or more)",strong republican,conservative,protestant,NA,NA,NA
p00018,2022,1799,14.272461891160601,21,male,white,not hispanic,high school,"$10,000 to $12,499",1,middle class,midwest,central city of the remainder of the 100 largest smsas,"independent, close to republican",conservative,catholic,no,not very strong,only some
p00019,2018,1091,1.4919888844929898,61,male,white,not hispanic,bachelor's,"$110,000 to $129,999",3,middle class,midwest,suburbs of the remaining 100 largest smsas,strong republican,conservative,protestant,yes,not very strong,NA
p00020,2018,2173,5.727468217012108,29,male,white,not hispanic,high school,"$90,000 to $109,999",4,working class,midwest,"other rural (counties having no towns of 10,000 or more)",strong republican,conservative,protestant,yes,not very strong,only some
p00021,2018,78,1.4029077480545495,89,female,white,not hispanic,less than high school,"$60,000 to $74,999",3,middle class,northeast,suburbs of 12 largest smsas,"independent (neither, no response)","moderate, middle of the road",catholic,no,strong,only some
p00022,2022,139,1.9542325137729994,23,female,white,not hispanic,bachelor's,"$40,000 to $49,999",NA,middle class,northeast,central city of 12 largest smsas,strong democrat,liberal,none,no,no religion,a great deal
p00023,2018,976,1.8627975836228365,37,female,white,not hispanic,bachelor's,"$110,000 to $129,999",2,middle class,south,suburbs of the remaining 100 largest smsas,"independent, close to republican",conservative,protestant,yes,strong,a great deal
p00024,2018,1244,3.7694248782232385,24,female,white,not hispanic,bachelor's,"$22,500 to $24,999",3,working class,south,central city of the remainder of the 100 largest smsas,not very strong republican,slightly liberal,none,yes,no religion,only some
p00025,2018,286,1.181239336633449,67,female,white,not hispanic,high school,"$110,000 to $129,999",3,middle class,midwest,suburbs of 12 largest smsas,not very strong democrat,"moderate, middle of the road",catholic,yes,strong,only some
p00026,2022,851,3.1215565790458784,59,female,white,not hispanic,bachelor's,"$110,000 to $129,999",3,middle class,south,central city of 12 largest smsas,"independent, close to republican","moderate, middle of the road",none,no,NA,only some
p00027,2018,505,1.186438697793139,38,male,asian,not hispanic,high school,"$150,000 to $169,999",2,middle class,south,suburbs of 12 largest smsas,not very strong democrat,liberal,none,no,no religion,a great deal
p00028,2022,1270,3.6508414271530096,27,male,black or african american,not hispanic,less than high school,"$10,000 to $12,499",5,upper class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)",conservative,other,yes,strong,NA
p00029,2022,1901,9.798830302948929,25,male,white,"mexican, mexican american, chicano/a",less than high school,"$110,000 to $129,999",NA,middle class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
p00030,2024,686,1.0146929749174929,25,male,white,not hispanic,high school,"$22,500 to $24,999",NA,working class,south,NA,other party,liberal,none,no,NA,NA
p00031,2021,4015,0.5435577077270706,61,male,white,not hispanic,graduate,"$170,000 or over",2,upper class,midwest,"other rural (counties having no towns of 10,000 or more)",not very strong democrat,liberal,protestant,no,NA,a great deal
p00032,2018,534,2.2904819090701927,57,male,white,not hispanic,graduate,"$110,000 to $129,999",5,middle class,south,suburbs of 12 largest smsas,strong republican,conservative,protestant,yes,strong,a great deal
p00033,2021,1313,0.9145266974132031,30,female,black or african american,not hispanic,graduate,"$50,000 to $59,999",5,middle class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)",conservative,protestant,yes,NA,only some
p00034,2024,1175,7.603788244064179,18,male,white,not hispanic,high school,"$110,000 to $129,999",4,middle class,south,NA,"independent (neither, no response)","moderate, middle of the road",catholic,no,NA,a great deal
p00035,2021,3028,1.2296446711902447,65,female,white,not hispanic,associate/junior college,"$75,000 to $89,999",2,middle class,northeast,suburbs of 12 largest smsas,"independent, close to republican",slightly conservative,catholic,NA,NA,NA
p00036,2022,1800,1.5979918946770453,21,female,white,not hispanic,high school,"$170,000 or over",NA,middle class,midwest,central city of the remainder of the 100 largest smsas,strong democrat,liberal,protestant,no,NA,a great deal
p00037,2022,2218,2.8113533735621794,58,female,white,not hispanic,bachelor's,"$60,000 to $74,999",NA,working class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,yes,NA,only some
p00038,2021,582,1.5797313747817552,22,female,white,not hispanic,associate/junior college,"$15,000 to $17,499",2,working class,south,"other urban (counties having towns of 10,000 or more)",not very strong democrat,liberal,none,NA,NA,NA
p00039,2022,3099,0.7711997606938018,48,female,white,not hispanic,high school,"$75,000 to $89,999",2,working class,west,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,none,no,no religion,a great deal
p00040,2024,756,1.4342451425007792,55,female,asian,not hispanic,high school,"$150,000 to $169,999",3,working class,northeast,NA,not very strong democrat,liberal,buddhism,no,NA,a great deal
p00041,2022,51,1.8201183213648857,59,female,white,not hispanic,bachelor's,"$170,000 or over",NA,middle class,northeast,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,protestant,no,NA,a great deal
p00042,2018,2048,0.39364281543555135,80,female,american indian or alaska native,"mexican, mexican american, chicano/a",high school,"$12,500 to $14,999",1,working class,west,"other rural (counties having no towns of 10,000 or more)",strong democrat,extremely liberal,none,no,no religion,only some
p00043,2021,3874,1.7520489559292627,52,female,black or african american,not hispanic,high school,"under $1,000",3,lower class,south,suburbs of 12 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,yes,NA,only some
p00044,2024,670,1.4670290463867937,54,female,white,not hispanic,graduate,"$170,000 or over",NA,middle class,south,NA,strong republican,extremely conservative,protestant,yes,NA,a great deal
p00045,2022,2733,4.786413502569613,48,female,white,not hispanic,high school,"$170,000 or over",2,working class,midwest,"other urban (counties having towns of 10,000 or more)",not very strong democrat,"moderate, middle of the road",none,no,no religion,a great deal
p00046,2022,3102,6.210931241343832,64,female,white,not hispanic,bachelor's,"$110,000 to $129,999",NA,middle class,west,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,none,no,NA,a great deal
p00047,2021,2864,0.506405433309084,34,female,white,not hispanic,bachelor's,"$60,000 to $74,999",5,working class,midwest,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,NA,NA,NA
p00048,2018,2025,1.5564912974924316,44,male,white,not hispanic,graduate,"$170,000 or over",4,upper class,west,"other urban (counties having towns of 10,000 or more)",strong republican,slightly conservative,catholic,yes,strong,a great deal
p00049,2024,563,1.19934322334429,41,male,asian,not hispanic,less than high school,"$25,000 to $29,999",2,working class,west,NA,"independent (neither, no response)","moderate, middle of the road",none,no,NA,NA
p00050,2024,1515,2.4172328259583162,72,male,white,not hispanic,less than high school,"$25,000 to $29,999",2,working class,northeast,NA,strong republican,conservative,protestant,yes,strong,NA
p00051,2021,3089,0.3495445332475826,44,female,black or african american,not hispanic,graduate,"$1,000 to $2,999",1,working class,south,suburbs of 12 largest smsas,not very strong democrat,slightly liberal,protestant,no,NA,only some
p00052,2018,2311,0.7083905770521209,54,male,white,not hispanic,high school,"$130,000 to $149,999",2,middle class,south,"other rural (counties having no towns of 10,000 or more)",not very strong republican,"moderate, middle of the road",protestant,no,not very strong,hardly any
p00053,2022,3261,0.3661294601796897,71,male,white,not hispanic,less than high school,"$25,000 to $29,999",NA,middle class,south,suburbs of the remaining 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",protestant,yes,strong,NA
p00054,2021,2394,0.5987131781715433,76,female,black or african american,not hispanic,high school,"$35,000 to $39,999",1,middle class,west,suburbs of 12 largest smsas,strong democrat,liberal,protestant,NA,NA,NA
p00055,2024,877,1.1916588514533828,26,female,black or african american,not hispanic,graduate,"$50,000 to $59,999",1,working class,south,NA,"independent (neither, no response)",extremely liberal,protestant,no,not very strong,NA
p00056,2021,2516,0.9442975427189253,38,male,white,not hispanic,graduate,"$150,000 to $169,999",2,upper class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)",slightly liberal,none,no,NA,only some
p00057,2024,761,0.758098909485336,62,male,white,"mexican, mexican american, chicano/a",high school,"$75,000 to $89,999",NA,working class,northeast,NA,"independent (neither, no response)","moderate, middle of the road",catholic,no,NA,hardly any
p00058,2018,456,4.069403273352813,19,male,hispanic,"mexican, mexican american, chicano/a",high school,"$60,000 to $74,999",4,middle class,west,suburbs of 12 largest smsas,not very strong democrat,slightly liberal,catholic,no,not very strong,NA
p00059,2021,1424,0.4114937876602886,58,female,white,"mexican, mexican american, chicano/a",associate/junior college,"$60,000 to $74,999",1,working class,south,suburbs of 12 largest smsas,"independent, close to republican",liberal,catholic,NA,NA,NA
p00060,2024,2792,2.777625649109855,36,male,white,not hispanic,high school,"$50,000 to $59,999",NA,working class,south,NA,strong democrat,slightly liberal,none,no,NA,only some
p00061,2024,2662,2.0535388652826825,21,female,white,not hispanic,high school,"$90,000 to $109,999",2,working class,midwest,NA,not very strong republican,"moderate, middle of the road",protestant,no,somewhat strong (vol.),hardly any
p00062,2018,2233,0.36721970497881135,47,female,white,not hispanic,bachelor's,"$15,000 to $17,499",2,working class,south,"other rural (counties having no towns of 10,000 or more)","independent (neither, no response)",slightly liberal,protestant,no,not very strong,only some
p00063,2018,1909,0.81597686241264,28,male,white,not hispanic,bachelor's,"$130,000 to $149,999",2,middle class,south,"other urban (counties having towns of 10,000 or more)",not very strong republican,slightly conservative,protestant,yes,not very strong,a great deal
p00064,2018,1124,1.0543077894468287,50,female,white,not hispanic,bachelor's,"$30,000 to $34,999",2,working class,midwest,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",muslim/islam,yes,not very strong,NA
p00065,2021,2517,1.908745723126602,55,female,white,not hispanic,associate/junior college,"$150,000 to $169,999",4,working class,west,central city of the remainder of the 100 largest smsas,not very strong democrat,"moderate, middle of the road",none,no,NA,a great deal
p00066,2022,866,4.733840942415235,42,female,asian,not hispanic,bachelor's,"$150,000 to $169,999",4,working class,northeast,central city of 12 largest smsas,not very strong democrat,"moderate, middle of the road",hinduism,no,NA,a great deal
p00067,2024,370,0.9452506742650274,50,male,white,not hispanic,high school,"$12,500 to $14,999",NA,lower class,midwest,NA,"independent (neither, no response)","moderate, middle of the road",other,yes,strong,a great deal
p00068,2021,2377,1.6126135926659244,39,female,white,"mexican, mexican american, chicano/a",high school,"$60,000 to $74,999",4,middle class,west,suburbs of the remaining 100 largest smsas,not very strong democrat,slightly conservative,catholic,NA,NA,NA
p00069,2018,540,0.8021826101791012,38,female,white,"mexican, mexican american, chicano/a",high school,"$60,000 to $74,999",2,working class,south,suburbs of 12 largest smsas,"independent, close to republican","moderate, middle of the road",protestant,yes,not very strong,NA
p00070,2022,1530,0.9416407462748048,25,male,white,puerto rican,high school,"$40,000 to $49,999",1,middle class,south,suburbs of the remaining 100 largest smsas,"independent, close to democrat","moderate, middle of the road",none,no,no religion,a great deal
p00071,2021,2115,0.6123635116117623,70,male,white,not hispanic,bachelor's,"$50,000 to $59,999",2,middle class,south,"other rural (counties having no towns of 10,000 or more)","independent, close to republican",conservative,protestant,no,NA,only some
p00072,2022,113,1.787957080501379,48,male,black or african american,not hispanic,associate/junior college,"$150,000 to $169,999",NA,working class,northeast,central city of 12 largest smsas,not very strong democrat,liberal,protestant,yes,not very strong,only some
p00073,2024,602,0.786960597768368,42,female,white,not hispanic,high school,"$10,000 to $12,499",3,lower class,northeast,NA,not very strong democrat,slightly liberal,none,no,no religion,only some
p00074,2022,1110,0.5810039337348453,31,female,black or african american,not hispanic,graduate,"$170,000 or over",NA,middle class,midwest,suburbs of 12 largest smsas,"independent, close to democrat","moderate, middle of the road",protestant,yes,NA,NA
p00075,2018,489,2.1900191870189047,33,male,white,"mexican, mexican american, chicano/a",less than high school,"$50,000 to $59,999",5,middle class,south,suburbs of 12 largest smsas,"independent, close to democrat",slightly liberal,catholic,yes,not very strong,only some
p00076,2021,3581,1.1102282866606725,65,male,asian,not hispanic,graduate,"$40,000 to $49,999",2,working class,west,central city of the remainder of the 100 largest smsas,not very strong democrat,slightly liberal,none,no,NA,a great deal
p00077,2021,4001,0.9397911706927765,62,female,white,not hispanic,high school,"$170,000 or over",2,middle class,south,"other urban (counties having towns of 10,000 or more)",strong republican,conservative,protestant,NA,NA,NA
p00078,2021,3675,1.355947154437998,58,female,white,not hispanic,less than high school,"$8,000 to $9,999",2,lower class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)",slightly conservative,none,no,NA,only some
p00079,2024,815,2.715765280243501,64,male,white,not hispanic,bachelor's,"$170,000 or over",NA,middle class,south,NA,strong republican,extremely conservative,other,yes,strong,only some
p00080,2021,1255,0.5648392346765554,33,female,white,not hispanic,bachelor's,"$150,000 to $169,999",NA,middle class,south,"other rural (counties having no towns of 10,000 or more)",not very strong republican,slightly conservative,catholic,no,NA,only some
p00081,2024,2151,3.7525512888286254,64,male,asian,not hispanic,bachelor's,"$40,000 to $49,999",2,middle class,west,NA,strong democrat,"moderate, middle of the road",catholic,NA,not very strong,NA
p00082,2021,3956,0.43792213291533616,58,female,white,not hispanic,bachelor's,"$130,000 to $149,999",2,upper class,midwest,"other rural (counties having no towns of 10,000 or more)","independent, close to democrat",slightly liberal,protestant,NA,NA,NA
p00083,2021,3799,0.8115348704517096,23,female,white,not hispanic,bachelor's,"$30,000 to $34,999",3,middle class,south,"other urban (counties having towns of 10,000 or more)",not very strong republican,"moderate, middle of the road",protestant,yes,NA,only some
p00084,2024,2184,0.33466859002583055,71,female,white,not hispanic,high school,"$20,000 to $22,499",NA,middle class,south,NA,strong republican,extremely conservative,protestant,yes,strong,only some
p00085,2021,2635,4.551830862201247,24,female,white,not hispanic,high school,"$17,500 to $19,999",5,working class,west,"other urban (counties having towns of 10,000 or more)",not very strong democrat,slightly liberal,none,NA,NA,NA
p00086,2021,2464,0.32087572278416643,33,female,white,not hispanic,bachelor's,"$25,000 to $29,999",3,working class,west,suburbs of the remaining 100 largest smsas,other party,"moderate, middle of the road",none,yes,NA,hardly any
p00087,2024,2291,0.969100244744216,58,male,black or african american,not hispanic,bachelor's,"$90,000 to $109,999",NA,middle class,northeast,NA,not very strong democrat,slightly liberal,protestant,yes,strong,a great deal
p00088,2021,2293,0.5092592017798583,75,male,white,not hispanic,bachelor's,"$40,000 to $49,999",2,middle class,west,central city of the remainder of the 100 largest smsas,"independent, close to republican",conservative,catholic,no,NA,a great deal
p00089,2018,1657,2.0627891662804583,47,male,white,not hispanic,high school,"$50,000 to $59,999",4,working class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)",slightly conservative,protestant,yes,strong,only some
p00090,2024,2734,2.596727434257553,53,female,asian,not hispanic,graduate,"$170,000 or over",NA,upper class,midwest,NA,"independent (neither, no response)","moderate, middle of the road",hinduism,no,NA,a great deal
p00091,2024,2477,0.4437761931738643,65,male,black or african american,not hispanic,less than high school,"$60,000 to $74,999",NA,working class,south,NA,strong democrat,extremely conservative,protestant,yes,strong,NA
p00092,2021,714,0.9290955647129749,77,male,asian,not hispanic,bachelor's,"$30,000 to $34,999",2,working class,west,suburbs of the remaining 100 largest smsas,"independent, close to democrat",slightly liberal,none,yes,NA,a great deal
p00093,2021,2039,0.8505737499042638,66,female,white,not hispanic,high school,"$90,000 to $109,999",2,middle class,midwest,"other rural (counties having no towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",protestant,no,NA,only some
p00094,2018,2041,1.592315491974239,71,male,white,not hispanic,graduate,"$170,000 or over",2,middle class,west,"other rural (counties having no towns of 10,000 or more)",strong republican,extremely conservative,catholic,yes,not very strong,NA
p00095,2024,933,1.8298287809720684,40,female,black or african american,not hispanic,high school,"$90,000 to $109,999",NA,working class,south,NA,strong democrat,liberal,none,no,NA,NA
p00096,2018,897,1.3854747215016514,27,male,black or african american,not hispanic,high school,"$30,000 to $34,999",2,middle class,midwest,suburbs of the remaining 100 largest smsas,not very strong democrat,"moderate, middle of the road",protestant,yes,not very strong,NA
p00097,2024,2657,0.6764269886065237,29,female,black or african american,not hispanic,high school,"$20,000 to $22,499",NA,working class,midwest,NA,not very strong democrat,"moderate, middle of the road",none,yes,no religion,only some
p00098,2018,235,1.3131129932939418,29,male,white,not hispanic,high school,"$90,000 to $109,999",3,working class,west,central city of the remainder of the 100 largest smsas,not very strong republican,slightly conservative,none,no,no religion,only some
p00099,2022,938,0.9352637453586082,27,female,american indian or alaska native,"another hispanic, latino, or spanish origin",high school,"$30,000 to $34,999",3,middle class,south,suburbs of 12 largest smsas,"independent (neither, no response)",liberal,none,no,no religion,a great deal
p00100,2021,2660,2.0200061982328292,44,male,white,not hispanic,less than high school,"$50,000 to $59,999",3,working class,west,"other urban (counties having towns of 10,000 or more)",strong republican,"moderate, middle of the road",other,no,NA,only some
p00101,2024,2360,3.773478717503215,74,male,white,not hispanic,graduate,"$170,000 or over",2,middle class,south,NA,"independent, close to democrat",slightly liberal,none,no,NA,a great deal
p00102,2021,3393,0.7008047844998947,57,male,white,not hispanic,graduate,"$90,000 to $109,999",2,middle class,northeast,suburbs of the remaining 100 largest smsas,not very strong democrat,"moderate, middle of the road",none,NA,NA,NA
p00103,2018,2100,1.1493682496727444,44,female,white,not hispanic,associate/junior college,"$170,000 or over",3,middle class,south,suburbs of the remaining 100 largest smsas,"independent, close to democrat",slightly conservative,protestant,yes,not very strong,a great deal
p00104,2022,319,4.755026330432852,56,male,black or african american,not hispanic,high school,"$75,000 to $89,999",NA,middle class,west,central city of 12 largest smsas,"independent, close to republican",slightly conservative,protestant,yes,strong,only some
p00105,2021,906,3.5576452159126615,30,male,asian,not hispanic,graduate,"$150,000 to $169,999",4,working class,northeast,central city of 12 largest smsas,not very strong democrat,liberal,hinduism,NA,NA,NA
p00106,2022,723,3.1310720910642984,51,male,white,not hispanic,bachelor's,"$50,000 to $59,999",NA,middle class,west,suburbs of 12 largest smsas,strong democrat,"moderate, middle of the road",none,no,no religion,a great deal
p00107,2021,605,1.0277890364899236,65,male,white,not hispanic,high school,"$50,000 to $59,999",2,middle class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)",conservative,protestant,no,NA,a great deal
p00108,2021,4162,1.1775713692988663,69,male,white,not hispanic,associate/junior college,"$75,000 to $89,999",3,middle class,south,"other urban (counties having towns of 10,000 or more)","independent, close to republican",slightly conservative,protestant,no,NA,hardly any
p00109,2024,1876,2.2587863493691698,68,female,white,not hispanic,high school,"$40,000 to $49,999",2,lower class,midwest,NA,not very strong democrat,"moderate, middle of the road",protestant,yes,NA,a great deal
p00110,2021,2717,1.2131993982837248,58,male,white,not hispanic,graduate,"$170,000 or over",4,middle class,south,suburbs of 12 largest smsas,strong democrat,slightly liberal,none,no,NA,a great deal
p00111,2021,1755,1.8491262580045777,46,male,white,not hispanic,high school,"$90,000 to $109,999",3,working class,midwest,"other urban (counties having towns of 10,000 or more)",strong republican,"moderate, middle of the road",protestant,NA,NA,NA
p00112,2024,2628,0.5390379422841284,41,male,black or african american,not hispanic,high school,"$35,000 to $39,999",1,working class,midwest,NA,"independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
p00113,2021,1009,4.644304345839643,61,female,black or african american,"another hispanic, latino, or spanish origin",less than high school,"under $1,000",5,working class,northeast,central city of 12 largest smsas,"independent (neither, no response)","moderate, middle of the road",protestant,yes,NA,only some
p00114,2024,987,1.9450624684920128,35,male,white,"another hispanic, latino, or spanish origin",high school,"$30,000 to $34,999",NA,working class,south,NA,"independent (neither, no response)","moderate, middle of the road",catholic,no,not very strong,NA
p00115,2022,389,3.2636481745349313,54,female,white,not hispanic,bachelor's,"$170,000 or over",NA,middle class,midwest,suburbs of 12 largest smsas,strong republican,conservative,catholic,yes,strong,only some
p00116,2021,1034,6.159928634523648,25,female,some other race,puerto rican,less than high school,"$170,000 or over",5,middle class,northeast,central city of 12 largest smsas,"independent, close to democrat",extremely liberal,none,no,NA,only some
p00117,2018,1207,0.8362077009353379,31,female,white,"another hispanic, latino, or spanish origin",high school,"$30,000 to $34,999",3,working class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",catholic,no,not very strong,a great deal
p00118,2018,831,2.5346911308926936,50,male,white,not hispanic,bachelor's,"$170,000 or over",2,middle class,midwest,central city of the remainder of the 100 largest smsas,not very strong democrat,liberal,none,no,no religion,a great deal
p00119,2022,1376,3.348093146853338,28,female,white,not hispanic,high school,"$35,000 to $39,999",8,working class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,no,no religion,a great deal
p00120,2021,1811,0.8153365615906046,57,male,white,not hispanic,graduate,"$170,000 or over",4,middle class,midwest,suburbs of the remaining 100 largest smsas,not very strong democrat,"moderate, middle of the road",none,no,NA,a great deal
p00121,2018,1750,1.0727856012553834,51,male,white,not hispanic,high school,"$90,000 to $109,999",2,working class,midwest,"other urban (counties having towns of 10,000 or more)",strong republican,extremely conservative,protestant,yes,strong,only some
p00122,2024,2264,3.564212486498666,65,male,white,not hispanic,high school,"$150,000 to $169,999",NA,middle class,northeast,NA,strong republican,conservative,catholic,no,NA,a great deal
p00123,2021,1154,1.273735219552343,44,male,asian,not hispanic,graduate,"$170,000 or over",4,middle class,south,suburbs of 12 largest smsas,strong democrat,slightly liberal,hinduism,NA,NA,NA
p00124,2024,3023,0.7002396734955558,36,male,white,not hispanic,graduate,"$17,500 to $19,999",1,lower class,south,NA,"independent, close to democrat",slightly liberal,none,no,NA,NA
p00125,2018,209,1.1405968646073752,50,male,white,not hispanic,graduate,"$90,000 to $109,999",2,middle class,west,suburbs of the remaining 100 largest smsas,not very strong democrat,liberal,catholic,no,not very strong,a great deal
p00126,2018,1361,3.753583229023748,21,male,white,not hispanic,high school,"$1,000 to $2,999",4,middle class,south,"other urban (counties having towns of 10,000 or more)","independent, close to republican",slightly conservative,catholic,no,not very strong,NA
p00127,2018,2334,1.2535157347557566,76,male,white,not hispanic,graduate,"$150,000 to $169,999",2,middle class,northeast,"other rural (counties having no towns of 10,000 or more)","independent, close to democrat","moderate, middle of the road",protestant,no,not very strong,NA
p00128,2024,2369,1.3674235781163675,27,male,black or african american,not hispanic,high school,"$90,000 to $109,999",NA,working class,south,NA,"independent (neither, no response)","moderate, middle of the road",none,no,NA,NA
p00129,2018,458,4.196330915284425,37,female,asian,not hispanic,high school,"$170,000 or over",7,working class,west,suburbs of 12 largest smsas,not very strong republican,extremely liberal,none,no,no religion,a great deal
p00130,2018,1201,1.1673539520652572,22,male,white,not hispanic,high school,"$30,000 to $34,999",3,working class,west,suburbs of the remaining 100 largest smsas,"independent, close to democrat",slightly liberal,none,no,no religion,a great deal
p00131,2024,2752,1.6351159869066754,23,male,white,not hispanic,high school,"$8,000 to $9,999",NA,working class,midwest,NA,"independent (neither, no response)","moderate, middle of the road",none,no,NA,a great deal
p00132,2024,287,0.9214472497850638,60,male,white,not hispanic,graduate,"$130,000 to $149,999",NA,upper class,west,NA,"independent, close to democrat",slightly liberal,protestant,no,NA,a great deal
p00133,2024,529,5.85093909815537,53,female,asian,not hispanic,high school,"$150,000 to $169,999",NA,working class,west,NA,"independent, close to democrat",conservative,buddhism,no,not very strong,only some
p00134,2024,640,4.208766114540086,39,female,white,not hispanic,bachelor's,"$170,000 or over",NA,middle class,northeast,NA,"independent, close to democrat","moderate, middle of the road",protestant,yes,NA,only some
p00135,2021,2498,0.6143245915984062,69,male,white,not hispanic,graduate,"$170,000 or over",2,middle class,west,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,none,NA,NA,NA
p00136,2022,1698,9.810652810002825,78,male,white,not hispanic,high school,"$50,000 to $59,999",3,working class,midwest,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",protestant,no,NA,NA
p00137,2024,1606,3.1622595512693863,50,female,white,not hispanic,high school,"$110,000 to $129,999",NA,middle class,midwest,NA,strong republican,conservative,christian,no,NA,NA
p00138,2021,2515,1.4315592923449505,63,female,white,not hispanic,high school,"$150,000 to $169,999",3,middle class,west,suburbs of the remaining 100 largest smsas,not very strong republican,slightly conservative,protestant,NA,NA,NA
p00139,2018,931,0.8220844684875523,73,male,white,not hispanic,graduate,"$110,000 to $129,999",3,middle class,south,suburbs of the remaining 100 largest smsas,not very strong republican,extremely conservative,protestant,no,not very strong,a great deal
p00140,2018,205,1.3921816995251972,43,male,asian,not hispanic,graduate,"$75,000 to $89,999",4,working class,west,suburbs of 12 largest smsas,"independent (neither, no response)",liberal,protestant,yes,not very strong,a great deal
